timestamp_ms,over,ball,bowler_id,batsman_id,pitch_acquire_ms,pitch_release_ms,outcome,runs,commentary
1774461656433.146,1,1,22,1,1774461656433.110,1774461656433.595,1,1,"Over 1.1  Rohit Sharma     1"
1774461656451.787,1,2,22,2,1774461656443.928,1774461656452.461,1,1,"Over 1.2  Suryakumar       1"
1774461656467.099,1,3,22,1,1774461656462.749,1774461656467.588,•,0,"Over 1.3  Rohit Sharma     •"
1774461656480.723,1,4,22,1,1774461656477.864,1774461656481.280,1,1,"Over 1.4  Rohit Sharma     1"
1774461656491.608,1,5,22,2,1774461656491.559,1774461656491.984,•,0,"Over 1.5  Suryakumar       •"
1774461656505.169,1,6,22,2,1774461656502.240,1774461656505.827,W(B),0,"Over 1.6  Suryakumar       W(B)"
1774461656559.332,2,1,23,1,1774461656559.281,1774461656559.636,2,2,"Over 2.1  Rohit Sharma     2"
1774461656572.801,2,2,23,1,1774461656569.739,1774461656573.289,3,3,"Over 2.2  Rohit Sharma     3"
1774461656572.801,2,2,23,1,1774461656583.557,1774461657589.203,3,3,"Over 2.2  Rohit Sharma     3"
1774461656572.801,2,2,23,1,1774461657599.326,1774461658603.901,3,3,"Over 2.2  Rohit Sharma     3"
1774461656572.801,2,2,23,1,1774461658614.330,1774461659619.378,3,3,"Over 2.2  Rohit Sharma     3"
1774461656572.801,2,2,23,1,1774461659629.486,1774461660632.785,3,3,"Over 2.2  Rohit Sharma     3"
1774461660686.651,3,1,24,1,1774461660686.607,1774461660686.988,1,1,"Over 3.1  Rohit Sharma     1"
1774461660686.651,3,1,24,1,1774461660697.149,1774461661702.128,1,1,"Over 3.1  Rohit Sharma     1"
1774461660686.651,3,1,24,1,1774461661712.292,1774461662714.996,1,1,"Over 3.1  Rohit Sharma     1"
1774461660686.651,3,1,24,1,1774461662725.173,1774461663740.572,1,1,"Over 3.1  Rohit Sharma     1"
1774461660686.651,3,1,24,1,1774461663750.688,1774461664754.754,1,1,"Over 3.1  Rohit Sharma     1"
1774461660686.651,3,1,24,1,1774461664764.895,1774461665780.514,1,1,"Over 3.1  Rohit Sharma     1"
1774461665834.444,4,1,25,1,1774461665834.396,1774461665834.790,4,4,"Over 4.1  Rohit Sharma     4"
1774461665847.920,4,2,25,1,1774461665844.950,1774461665848.393,1,1,"Over 4.2  Rohit Sharma     1"
1774461665847.920,4,2,25,1,1774461665858.583,1774461666859.136,1,1,"Over 4.2  Rohit Sharma     1"
1774461665847.920,4,2,25,1,1774461666869.292,1774461667871.046,1,1,"Over 4.2  Rohit Sharma     1"
1774461665847.920,4,2,25,1,1774461667881.251,1774461668886.537,1,1,"Over 4.2  Rohit Sharma     1"
1774461665847.920,4,2,25,1,1774461668896.640,1774461669901.028,1,1,"Over 4.2  Rohit Sharma     1"
1774461669954.763,5,1,26,1,1774461669954.712,1774461669955.066,2,2,"Over 5.1  Rohit Sharma     2"
1774461669968.201,5,2,26,1,1774461669965.258,1774461669968.666,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,26,1,1774461669978.794,1774461669981.803,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,26,1,1774461669992.067,1774461670998.329,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,26,1,1774461671008.465,1774461672015.085,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,26,1,1774461672025.254,1774461673031.766,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,21,1,1774461673092.014,1774461674093.055,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,21,1,1774461674103.426,1774461675105.323,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,21,1,1774461675115.725,1774461676116.950,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,21,1,1774461676127.063,1774461677128.137,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,21,1,1774461677138.257,1774461678139.168,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461669968.201,5,2,21,1,1774461678149.351,1774461679150.195,W(L),0,"Over 5.2  Rohit Sharma     W(L)"
1774461679203.978,7,1,22,3,1774461679203.898,1774461679204.589,1,1,"Over 7.1  Ryan Rickelton   1"
1774461679203.978,7,1,22,3,1774461679214.723,1774461680222.599,1,1,"Over 7.1  Ryan Rickelton   1"
1774461679203.978,7,1,22,3,1774461680232.749,1774461681240.860,1,1,"Over 7.1  Ryan Rickelton   1"
1774461679203.978,7,1,22,3,1774461681250.977,1774461682258.952,1,1,"Over 7.1  Ryan Rickelton   1"
1774461679203.978,7,1,22,3,1774461682269.520,1774461683277.959,1,1,"Over 7.1  Ryan Rickelton   1"
1774461679203.978,7,1,22,3,1774461683288.091,1774461684296.507,1,1,"Over 7.1  Ryan Rickelton   1"
1774461684350.699,8,1,23,3,1774461684350.644,1774461684350.995,1,1,"Over 8.1  Ryan Rickelton   1"
1774461684350.699,8,1,23,3,1774461684361.148,1774461685361.937,1,1,"Over 8.1  Ryan Rickelton   1"
1774461684350.699,8,1,23,3,1774461685372.090,1774461686372.814,1,1,"Over 8.1  Ryan Rickelton   1"
1774461684350.699,8,1,23,3,1774461686382.946,1774461687383.833,1,1,"Over 8.1  Ryan Rickelton   1"
1774461684350.699,8,1,23,3,1774461687393.968,1774461688395.725,1,1,"Over 8.1  Ryan Rickelton   1"
1774461684350.699,8,1,23,3,1774461688405.829,1774461689407.568,1,1,"Over 8.1  Ryan Rickelton   1"
1774461689461.717,9,1,24,3,1774461689461.669,1774461689462.014,•,0,"Over 9.1  Ryan Rickelton   •"
1774461689475.121,9,2,24,3,1774461689472.159,1774461689475.483,4,4,"Over 9.2  Ryan Rickelton   4"
1774461689488.624,9,3,24,3,1774461689485.594,1774461689489.052,•,0,"Over 9.3  Ryan Rickelton   •"
1774461689502.136,9,4,24,3,1774461689499.311,1774461689502.595,1,1,"Over 9.4  Ryan Rickelton   1"
1774461689502.136,9,4,24,3,1774461689512.901,1774461690519.474,1,1,"Over 9.4  Ryan Rickelton   1"
1774461689502.136,9,4,24,3,1774461690529.591,1774461691536.178,1,1,"Over 9.4  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461691589.914,1774461691590.274,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461691600.422,1774461692603.906,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461692614.022,1774461693617.769,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461693627.899,1774461694631.040,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461694641.143,1774461695644.260,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461695654.389,1774461696657.562,1,1,"Over 10.1  Ryan Rickelton   1"
1774461696711.184,11,1,26,3,1774461696711.138,1774461696711.530,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461696721.643,1774461696724.723,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461696734.974,1774461697735.984,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461697746.102,1774461698747.845,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461698757.987,1774461699758.791,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461699768.994,1774461700770.361,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461700825.303,1774461701842.499,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461701852.702,1774461702870.170,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
