timestamp_ms,over,ball,bowler_id,batsman_id,pitch_acquire_ms,pitch_release_ms,outcome,runs,commentary
1774548659067.752,1,1,49,4,1774548659067.721,1774548659068.118,4,4,"Over 1.1  Rohit Sharma     4"
1774548659081.504,1,2,49,4,1774548659078.673,1774548659082.013,2,2,"Over 1.2  Rohit Sharma     2"
1774548659095.481,1,3,49,4,1774548659093.505,1774548659095.830,4,4,"Over 1.3  Rohit Sharma     4"
1774548659109.490,1,3,49,4,1774548659106.643,1774548659109.735,Wd,1,"Over 1.3  Rohit Sharma     Wd"
1774548659130.115,1,4,49,17,1774548659122.026,1774548659130.593,4,4,"Over 1.4  Rahmanullah Gurbaz  4"
1774548659147.651,1,5,49,17,1774548659142.696,1774548659147.986,4,4,"Over 1.5  Rahmanullah Gurbaz  4"
1774548659164.628,1,6,49,17,1774548659160.108,1774548659165.002,•,0,"Over 1.6  Rahmanullah Gurbaz  •"
1774548659222.523,2,1,50,4,1774548659222.487,1774548659222.765,4,4,"Over 2.1  Rohit Sharma     4"
1774548659236.035,2,2,50,17,1774548659235.958,1774548659236.452,•,0,"Over 2.2  Rahmanullah Gurbaz  •"
1774548659253.361,2,3,50,17,1774548659250.069,1774548659253.820,4,4,"Over 2.3  Rahmanullah Gurbaz  4"
1774548659268.306,2,4,50,17,1774548659267.109,1774548659268.769,1,1,"Over 2.4  Rahmanullah Gurbaz  1"
1774548659281.055,2,5,50,4,1774548659279.752,1774548659281.084,W(B),0,"Over 2.5  Rohit Sharma     W(B)"
1774548659281.055,2,5,50,4,1774548659291.696,1774548659291.699,W(B),0,"Over 2.5  Rohit Sharma     W(B)"
1774548659349.552,3,1,36,12,1774548659349.341,1774548659350.007,4,4,"Over 3.1  Harry Brook      4"
1774548659363.473,3,2,36,12,1774548659362.749,1774548659364.103,1,1,"Over 3.2  Harry Brook      1"
1774548659376.906,3,3,36,17,1774548659376.858,1774548659377.222,1,1,"Over 3.3  Rahmanullah Gurbaz  1"
1774548659388.948,3,4,36,12,1774548659388.900,1774548659389.277,4,4,"Over 3.4  Harry Brook      4"
1774548659404.043,3,5,36,12,1774548659400.542,1774548659404.439,4,4,"Over 3.5  Harry Brook      4"
1774548659418.713,3,5,36,12,1774548659415.907,1774548659419.057,Nb,1,"Over 3.5  Harry Brook      Nb"
1774548659433.746,3,6,36,17,1774548659431.892,1774548659434.076,1,1,"Over 3.6  Rahmanullah Gurbaz  1"
1774548659493.287,4,1,40,17,1774548659493.245,1774548659493.665,•,0,"Over 4.1  Rahmanullah Gurbaz  •"
1774548659508.083,4,2,40,17,1774548659505.027,1774548659508.514,4,4,"Over 4.2  Rahmanullah Gurbaz  4"
1774548659524.700,4,3,40,17,1774548659520.196,1774548659525.098,1,1,"Over 4.3  Rahmanullah Gurbaz  1"
1774548659538.360,4,4,40,12,1774548659538.113,1774548659538.828,•,0,"Over 4.4  Harry Brook      •"
1774548659552.388,4,5,40,12,1774548659552.019,1774548659552.770,1,1,"Over 4.5  Harry Brook      1"
1774548659566.516,4,6,40,17,1774548659566.189,1774548659566.982,•,0,"Over 4.6  Rahmanullah Gurbaz  •"
1774548659626.877,5,1,35,17,1774548659626.721,1774548659627.401,•,0,"Over 5.1  Rahmanullah Gurbaz  •"
1774548659644.857,5,2,35,17,1774548659639.402,1774548659645.371,•,0,"Over 5.2  Rahmanullah Gurbaz  •"
1774548659663.775,5,3,35,17,1774548659659.089,1774548659663.813,W(C),0,"Over 5.3  Rahmanullah Gurbaz  W(C)"
1774548659663.775,5,3,35,17,1774548659674.484,1774548659674.487,W(C),0,"Over 5.3  Rahmanullah Gurbaz  W(C)"
1774548659681.502,5,4,35,5,1774548659685.601,1774548659685.605,4,4,"Over 5.4  Shubhman Gill    4"
1774548659695.775,5,5,35,5,1774548659695.805,1774548659696.143,1,1,"Over 5.5  Shubhman Gill    1"
1774548659752.750,6,1,54,12,1774548659752.726,1774548659753.395,•,0,"Over 6.1  Harry Brook      •"
1774548659767.454,6,2,54,12,1774548659764.520,1774548659767.849,4,4,"Over 6.2  Harry Brook      4"
1774548659781.509,6,3,54,12,1774548659778.836,1774548659782.563,4,4,"Over 6.3  Harry Brook      4"
1774548659796.341,6,4,54,12,1774548659795.468,1774548659796.456,W(C),0,"Over 6.4  Harry Brook      W(C)"
1774548659796.341,6,4,54,12,1774548659808.020,1774548659808.024,W(C),0,"Over 6.4  Harry Brook      W(C)"
1774548659811.214,6,5,54,37,1774548659818.601,1774548659818.618,1,1,"Over 6.5  Wanindu Hasaranga  1"
1774548659878.360,7,1,49,37,1774548659878.344,1774548659878.639,2,2,"Over 7.1  Wanindu Hasaranga  2"
1774548659892.039,
